CE_train,CE_val,accuracy_train,accuracy_val
2.191680644035339576e+00,2.121301583099365118e+00,3.578000000000000069e-01,4.945999999999999841e-01
2.092917020017450724e+00,2.072421739196777413e+00,5.301090909090908632e-01,5.535999999999999810e-01
2.056709296529943387e+00,2.046664781188964888e+00,5.611090909090908907e-01,5.654000000000000137e-01
2.035989395141601488e+00,2.030314131355285490e+00,5.788181818181817873e-01,5.877999999999999892e-01
2.022750513510270576e+00,2.019666308403015087e+00,6.005090909090908813e-01,6.018000000000000016e-01
2.014347808837890774e+00,2.012767052650451749e+00,6.088909090909090382e-01,6.108000000000000096e-01
2.008368505174463525e+00,2.007637854576110659e+00,6.124909090909090859e-01,6.143999999999999462e-01
2.003818305882540507e+00,2.003797210884094238e+00,6.151636363636363569e-01,6.146000000000000352e-01
2.000370931842110345e+00,2.000804919815063698e+00,6.162363636363635822e-01,6.161999999999999700e-01
1.997525656786832027e+00,1.998263228988647500e+00,6.180545454545454120e-01,6.171999999999999709e-01
