CE_train,CE_val,accuracy_train,accuracy_val
2.146140048980712756e+00,2.063744896507263338e+00,4.574545454545454470e-01,6.270000000000000018e-01
2.022281583265824967e+00,1.991584653091430734e+00,6.804000000000000048e-01,7.241999999999999549e-01
1.969593063657933962e+00,1.956237733268737733e+00,7.421999999999999709e-01,7.576000000000000512e-01
1.944029446558518837e+00,1.938461957931518542e+00,7.586363636363636642e-01,7.641999999999999904e-01
1.929256721106442640e+00,1.926368190383911161e+00,7.669090909090908736e-01,7.693999999999999728e-01
1.919160952654751950e+00,1.918004086112976125e+00,7.719090909090908781e-01,7.753999999999999782e-01
1.911648400003259862e+00,1.911360161399841218e+00,7.766727272727272924e-01,7.750000000000000222e-01
1.905801454977555709e+00,1.906296300506591823e+00,7.780181818181818310e-01,7.805999999999999606e-01
1.901098144834691750e+00,1.901941167640686103e+00,7.812909090909090359e-01,7.828000000000000513e-01
1.897233845754103143e+00,1.898616723823547403e+00,7.821090909090908649e-01,7.815999999999999615e-01
