CE_train,CE_val,accuracy_train,accuracy_val
2.191089267990805833e+00,2.127243991279601953e+00,3.519454545454545613e-01,4.819999999999999840e-01
2.099040591109882836e+00,2.076696563339233581e+00,5.198727272727272641e-01,5.493999999999999995e-01
2.062624248721382614e+00,2.050705232238769327e+00,5.535999999999999810e-01,5.654000000000000137e-01
2.043211393703113998e+00,2.036141844177246085e+00,5.655818181818181856e-01,5.756000000000000005e-01
2.032059581366452150e+00,2.027784466552734255e+00,5.751454545454545153e-01,5.774000000000000243e-01
2.024746693481098703e+00,2.021831956291198829e+00,5.860909090909091068e-01,5.887999999999999901e-01
2.019406312118877000e+00,2.017635746383667161e+00,5.955636363636364061e-01,5.977999999999999980e-01
2.015451857176694173e+00,2.014527152633666773e+00,6.044363636363636605e-01,6.051999999999999602e-01
2.012228997143832299e+00,2.011518837165832352e+00,6.126727272727272577e-01,6.091999999999999638e-01
2.009498266696930102e+00,2.009293141555786200e+00,6.176000000000000378e-01,6.148000000000000131e-01
