CE_train,CE_val,accuracy_train,accuracy_val
2.191120035128160115e+00,2.122853584861755571e+00,3.567636363636363384e-01,4.875999999999999779e-01
2.093605717225508478e+00,2.071948790740966828e+00,5.263454545454545608e-01,5.540000000000000480e-01
2.057584993058985123e+00,2.044815505218505969e+00,5.595454545454545681e-01,5.697999999999999732e-01
2.036884264339100081e+00,2.028176457977294955e+00,5.741636363636363205e-01,5.927999999999999936e-01
2.023828254743055943e+00,2.017857935333251973e+00,5.984000000000000430e-01,6.114000000000000545e-01
2.015137973698702734e+00,2.010586814498901198e+00,6.101818181818181586e-01,6.148000000000000131e-01
2.008996402176943530e+00,2.005276955604553102e+00,6.135636363636363111e-01,6.146000000000000352e-01
2.004310249935497001e+00,2.001056320953368939e+00,6.163272727272727236e-01,6.186000000000000387e-01
2.000562257506630637e+00,1.997876635551452562e+00,6.188000000000000167e-01,6.226000000000000423e-01
1.997669252829118225e+00,1.995306333732604909e+00,6.220545454545454156e-01,6.208000000000000185e-01
1.995349168083884406e+00,1.993123968696594250e+00,6.238909090909090516e-01,6.228000000000000203e-01
1.993446668841622138e+00,1.991282842063903713e+00,6.258909090909090533e-01,6.278000000000000247e-01
1.991781838893890377e+00,1.990026145553588810e+00,6.276363636363636589e-01,6.346000000000000529e-01
1.990330809246410038e+00,1.988456736946105918e+00,6.311818181818181772e-01,6.353999999999999648e-01
1.988996883479031696e+00,1.987044491958618098e+00,6.317272727272726929e-01,6.366000000000000547e-01
