CE_train,CE_val,accuracy_train,accuracy_val
2.090492046963084771e+00,1.982124936676025406e+00,5.756727272727272249e-01,7.476000000000000423e-01
1.939631429282101749e+00,1.911794508171081652e+00,7.916727272727273057e-01,8.095999999999999863e-01
1.897996189724315386e+00,1.886797568893432642e+00,8.205636363636363839e-01,8.215999999999999970e-01
1.880272918874567267e+00,1.873390597534179580e+00,8.313818181818182218e-01,8.329999999999999627e-01
1.870224864699623790e+00,1.865087498092651286e+00,8.352909090909090839e-01,8.417999999999999927e-01
1.863613641565496248e+00,1.859326691436767653e+00,8.393090909090908935e-01,8.449999999999999734e-01
1.858852781599218185e+00,1.855088117790222091e+00,8.412363636363636710e-01,8.454000000000000403e-01
1.855142229557037448e+00,1.851849868392944298e+00,8.417272727272727684e-01,8.439999999999999725e-01
1.852206035397269579e+00,1.849337925529479953e+00,8.434545454545454568e-01,8.449999999999999734e-01
1.849745048392902769e+00,1.847071233177185023e+00,8.439999999999999725e-01,8.439999999999999725e-01
1.847741518714211217e+00,1.845166754722595170e+00,8.439818181818181664e-01,8.457999999999999963e-01
1.846013485605066506e+00,1.843728206825256288e+00,8.448545454545454136e-01,8.471999999999999531e-01
1.844554676142605931e+00,1.842126283264160058e+00,8.458181818181818024e-01,8.471999999999999531e-01
1.843224596760489664e+00,1.840972884178161628e+00,8.463818181818182351e-01,8.479999999999999760e-01
1.842048597942699040e+00,1.839587799644470278e+00,8.461818181818181461e-01,8.477999999999999980e-01
