CE_train,CE_val,accuracy_train,accuracy_val
2.148440645824779338e+00,2.042736746025085370e+00,5.295999999999999597e-01,6.987999999999999767e-01
2.000255792704495494e+00,1.974745933914184626e+00,7.483454545454545359e-01,7.798000000000000487e-01
1.961152718240564585e+00,1.951770231437683023e+00,7.941636363636364049e-01,8.127999999999999670e-01
1.944402230956337574e+00,1.939512057495117237e+00,8.104000000000000092e-01,8.172000000000000375e-01
1.934554105541922864e+00,1.931605905914306698e+00,8.159272727272727233e-01,8.224000000000000199e-01
1.927993619008497861e+00,1.926106624794006406e+00,8.200545454545454804e-01,8.237999999999999767e-01
1.923174714868718826e+00,1.921884469795227091e+00,8.224727272727272442e-01,8.224000000000000199e-01
1.919424208901145290e+00,1.918388086318969732e+00,8.242181818181818498e-01,8.264000000000000234e-01
1.916344318910078615e+00,1.915865451240539530e+00,8.247090909090909472e-01,8.282000000000000473e-01
1.913822017106142859e+00,1.913297948646545343e+00,8.264909090909090539e-01,8.306000000000000050e-01
