CE_train,CE_val,accuracy_train,accuracy_val
2.263106759071350282e+00,2.238628670883178629e+00,3.251818181818181830e-01,4.398000000000000242e-01
2.224393926967274115e+00,2.221420985794067438e+00,4.322363636363636408e-01,4.138000000000000012e-01
2.212282310745932623e+00,2.213145912551879757e+00,4.145454545454545503e-01,4.036000000000000143e-01
2.204509871916337627e+00,2.206572768402099705e+00,4.167454545454545300e-01,3.960000000000000187e-01
2.198592128666964296e+00,2.202133748245239442e+00,4.105272727272727407e-01,3.874000000000000221e-01
2.194629523017189499e+00,2.198996482849121303e+00,4.050909090909091126e-01,3.867999999999999772e-01
2.192045229131525108e+00,2.197203344917297407e+00,4.042727272727272836e-01,3.847999999999999754e-01
2.190647796804254810e+00,2.196222798919677643e+00,4.028909090909090773e-01,3.855999999999999983e-01
2.189867588910189511e+00,2.195656767845153734e+00,4.046727272727272950e-01,3.877999999999999781e-01
2.189362973213195840e+00,2.195210438537597675e+00,4.053818181818181765e-01,3.884000000000000230e-01
