CE_train,CE_val,accuracy_train,accuracy_val
2.090151717402718212e+00,1.975612283134460467e+00,5.859999999999999654e-01,7.600000000000000089e-01
1.942486395619132278e+00,1.906860929679870642e+00,7.847272727272727177e-01,8.074000000000000066e-01
1.900680145263671905e+00,1.882058187294006313e+00,8.128727272727273023e-01,8.237999999999999767e-01
1.882668232224204319e+00,1.869490413093567005e+00,8.241090909090909022e-01,8.327999999999999847e-01
1.872466424378481875e+00,1.861578148078918415e+00,8.295272727272727797e-01,8.404000000000000359e-01
1.865632315895774163e+00,1.856236366271972749e+00,8.343272727272726952e-01,8.436000000000000165e-01
1.860681997299194368e+00,1.851775888824462868e+00,8.374727272727272576e-01,8.471999999999999531e-01
1.856877568331631645e+00,1.848519654655456534e+00,8.387999999999999901e-01,8.474000000000000421e-01
1.853935964107513490e+00,1.845716603660583433e+00,8.405454545454545956e-01,8.491999999999999549e-01
1.851425370259718539e+00,1.843705630874633794e+00,8.421454545454545304e-01,8.506000000000000227e-01
