CE_train,CE_val,accuracy_train,accuracy_val
2.091207782008431160e+00,1.979788068008422774e+00,5.773454545454544951e-01,7.531999999999999806e-01
1.939503999103199261e+00,1.913140661430358991e+00,7.929090909090908967e-01,8.092000000000000304e-01
1.897705272978002400e+00,1.888705651473999048e+00,8.233090909090908793e-01,8.205999999999999961e-01
1.879911363168196292e+00,1.875965000724792553e+00,8.314181818181818340e-01,8.272000000000000464e-01
1.869762208851901031e+00,1.867992015266418449e+00,8.371454545454545260e-01,8.324000000000000288e-01
1.863024393428455605e+00,1.862445125961303738e+00,8.410181818181817759e-01,8.327999999999999847e-01
1.858119035720825263e+00,1.858245507049560485e+00,8.417818181818181866e-01,8.364000000000000323e-01
1.854396599249406252e+00,1.855124049568176225e+00,8.430727272727273069e-01,8.399999999999999689e-01
1.851437733216719117e+00,1.852424840927124006e+00,8.446000000000000174e-01,8.372000000000000552e-01
1.849017227042805134e+00,1.850090265464782613e+00,8.453636363636363171e-01,8.406000000000000139e-01
