CE_train,CE_val,accuracy_train,accuracy_val
2.147343284260142759e+00,2.069223595046997044e+00,4.629090909090909367e-01,6.288000000000000256e-01
2.027522716045379703e+00,1.995601499938964851e+00,6.861818181818182261e-01,7.281999999999999584e-01
1.976912460067055344e+00,1.960097508049011283e+00,7.406000000000000361e-01,7.606000000000000538e-01
1.951085550091483434e+00,1.940188796997070364e+00,7.589818181818182019e-01,7.705999999999999517e-01
1.935653100057081799e+00,1.927180203628540145e+00,7.683818181818181658e-01,7.785999999999999588e-01
1.924901214296167451e+00,1.917709399414062599e+00,7.737272727272727080e-01,7.853999999999999870e-01
1.916799406528472804e+00,1.910548654174804684e+00,7.781454545454545846e-01,7.860000000000000320e-01
1.910517674879594230e+00,1.904571142196655353e+00,7.804545454545454009e-01,7.925999999999999712e-01
1.905376279007304774e+00,1.899956570816039969e+00,7.827090909090909099e-01,7.895999999999999686e-01
1.901208673433824048e+00,1.895971152496337853e+00,7.836909090909091047e-01,7.962000000000000188e-01
