CE_train,CE_val,accuracy_train,accuracy_val
2.263689696138555529e+00,2.234309136962890463e+00,3.244000000000000217e-01,4.623999999999999777e-01
2.225030360828746279e+00,2.215657519531249786e+00,4.277454545454545398e-01,4.193999999999999950e-01
2.212796808416193084e+00,2.206577576065063440e+00,3.985818181818182038e-01,4.072000000000000064e-01
2.204893052187832936e+00,2.199755399894714358e+00,3.983636363636363642e-01,4.043999999999999817e-01
2.199046855839815962e+00,2.194865505790710269e+00,3.964545454545454484e-01,4.057999999999999940e-01
2.194998474207791261e+00,2.191112469863891743e+00,3.983818181818181703e-01,4.107999999999999985e-01
2.192065202626315212e+00,2.189015943908691586e+00,4.021272727272727221e-01,4.107999999999999985e-01
2.190340633565729167e+00,2.187522182464599396e+00,4.028545454545454652e-01,4.086000000000000187e-01
2.189190387812527838e+00,2.186549860572815085e+00,4.027272727272727115e-01,4.122000000000000108e-01
2.188432105064392008e+00,2.185940081405639557e+00,4.046727272727272950e-01,4.158000000000000029e-01
