CE_train,CE_val,accuracy_train,accuracy_val
2.089615750616247158e+00,1.984209924697875937e+00,5.832181818181818578e-01,7.508000000000000229e-01
1.941445602980526930e+00,1.915673097610473663e+00,7.827636363636363281e-01,8.084000000000000075e-01
1.899664099389856586e+00,1.890080883407592838e+00,8.125818181818181829e-01,8.207999999999999741e-01
1.881623270988464380e+00,1.876958720016479454e+00,8.240181818181818718e-01,8.284000000000000252e-01
1.871380985390056262e+00,1.869296798706054696e+00,8.299272727272727357e-01,8.309999999999999609e-01
1.864697526238181302e+00,1.863193063926696702e+00,8.346545454545454268e-01,8.387999999999999901e-01
1.859817710182883443e+00,1.858999728012084907e+00,8.375818181818182051e-01,8.404000000000000359e-01
1.856101452567360699e+00,1.855687670898437558e+00,8.391090909090909156e-01,8.407999999999999918e-01
1.853094264940781999e+00,1.853207562828063981e+00,8.407636363636363797e-01,8.426000000000000156e-01
1.850678484093059240e+00,1.850870362281799242e+00,8.423454545454545084e-01,8.454000000000000403e-01
