CE_train,CE_val,accuracy_train,accuracy_val
2.235814485636624216e+00,2.197688555908203334e+00,4.722727272727272885e-01,5.427999999999999492e-01
2.185127705920826280e+00,2.172490244674682547e+00,5.215090909090909221e-01,5.407999999999999474e-01
2.167742405978116071e+00,2.159764021301269654e+00,5.395272727272727442e-01,5.577999999999999625e-01
2.157461706421591963e+00,2.151063066101074117e+00,5.520545454545454644e-01,5.614000000000000101e-01
2.149943941809914438e+00,2.144223893356323352e+00,5.553454545454545865e-01,5.610000000000000542e-01
2.143560673626986546e+00,2.138047732543945312e+00,5.501636363636364102e-01,5.554000000000000048e-01
2.137838150717995322e+00,2.132617982292175363e+00,5.443272727272727707e-01,5.495999999999999774e-01
2.132720210942355088e+00,2.127620177841186511e+00,5.404909090909091329e-01,5.450000000000000400e-01
2.128123700662092777e+00,2.123346032142638951e+00,5.386909090909091091e-01,5.423999999999999932e-01
2.124037759000604986e+00,2.119349550056457421e+00,5.393090909090909602e-01,5.460000000000000409e-01
