CE_train,CE_val,accuracy_train,accuracy_val
2.003581387823278437e+00,1.886099413871765051e+00,6.962181818181818471e-01,8.326000000000000068e-01
1.865283781311728672e+00,1.845387897682190026e+00,8.415090909090908733e-01,8.514000000000000457e-01
1.841227513183246955e+00,1.831194642257690353e+00,8.529818181818181744e-01,8.629999999999999893e-01
1.830602038426832667e+00,1.823130375671386805e+00,8.575272727272726936e-01,8.649999999999999911e-01
1.824255533391779149e+00,1.818585676956176789e+00,8.598363636363636209e-01,8.663999999999999480e-01
1.820000026139346083e+00,1.814876956176757705e+00,8.609454545454545693e-01,8.663999999999999480e-01
1.816826398892836147e+00,1.811906593132019072e+00,8.622909090909091079e-01,8.688000000000000167e-01
1.814304146203127743e+00,1.810216780090331934e+00,8.628727272727272357e-01,8.686000000000000387e-01
1.812333963784304558e+00,1.807973810195922848e+00,8.638363636363636244e-01,8.693999999999999506e-01
1.810683610525998244e+00,1.806971164703369048e+00,8.636545454545454525e-01,8.698000000000000176e-01
1.809220977436412525e+00,1.805456936073303265e+00,8.642909090909091097e-01,8.678000000000000158e-01
1.808049707022580277e+00,1.804120879936218280e+00,8.640363636363636024e-01,8.716000000000000414e-01
1.806993610555475360e+00,1.803626301002502430e+00,8.646909090909090656e-01,8.696000000000000396e-01
1.805989802533930044e+00,1.802509457206726173e+00,8.644363636363636694e-01,8.698000000000000176e-01
1.805224190755323921e+00,1.801766834449768151e+00,8.650363636363636033e-01,8.698000000000000176e-01
