CE_train,CE_val,accuracy_train,accuracy_val
2.147642128294164454e+00,2.064069706916809022e+00,4.615090909090909244e-01,6.440000000000000169e-01
2.027141152815385094e+00,1.995572582817077611e+00,6.938545454545455016e-01,7.278000000000000025e-01
1.977247352990237239e+00,1.961547649002075122e+00,7.420363636363636051e-01,7.518000000000000238e-01
1.951233087756417017e+00,1.942101852035522436e+00,7.588181818181818361e-01,7.660000000000000142e-01
1.935518455158580453e+00,1.929138183975219745e+00,7.675636363636363368e-01,7.753999999999999782e-01
1.924900418975136418e+00,1.920545910644531284e+00,7.733999999999999764e-01,7.793999999999999817e-01
1.917160205580971555e+00,1.913456708335876444e+00,7.768909090909090764e-01,7.813999999999999835e-01
1.911062168424779717e+00,1.908196322822570901e+00,7.804181818181817887e-01,7.870000000000000329e-01
1.906070539604533876e+00,1.903638084411621190e+00,7.820727272727272528e-01,7.897999999999999465e-01
1.901873960018158005e+00,1.899760028648376453e+00,7.834181818181817913e-01,7.917999999999999483e-01
