CE_train,CE_val,accuracy_train,accuracy_val
2.208518664533441811e+00,2.164441332244873006e+00,5.303454545454545643e-01,6.046000000000000263e-01
2.149360265298323025e+00,2.136060799789428533e+00,6.305636363636363262e-01,6.525999999999999579e-01
2.129638768109408442e+00,2.122191437721252516e+00,6.703999999999999959e-01,6.845999999999999863e-01
2.118958793206648483e+00,2.113937915992736727e+00,6.933272727272726810e-01,6.887999999999999678e-01
2.112140136285261871e+00,2.108288261032104316e+00,7.015818181818181953e-01,7.007999999999999785e-01
2.107313950668681546e+00,2.104409474563598614e+00,7.082727272727272760e-01,7.129999999999999671e-01
2.103788428870114302e+00,2.101379598045348907e+00,7.149636363636363567e-01,7.087999999999999856e-01
2.101065269340168129e+00,2.098799106025695860e+00,7.169454545454545524e-01,7.171999999999999487e-01
2.098822519822554078e+00,2.096921723175048768e+00,7.206727272727272426e-01,7.204000000000000403e-01
2.096979051113128545e+00,2.095464350700378287e+00,7.216909090909090496e-01,7.211999999999999522e-01
