CE_train,CE_val,accuracy_train,accuracy_val
2.147067739616741022e+00,2.071493674850463762e+00,4.615636363636363426e-01,6.308000000000000274e-01
2.027129590641368662e+00,1.999902858924865745e+00,6.913454545454545963e-01,7.187999999999999945e-01
1.977061423821882657e+00,1.965632740592956562e+00,7.432363636363635839e-01,7.428000000000000158e-01
1.950964617252349820e+00,1.946076661872863767e+00,7.595636363636363297e-01,7.640000000000000124e-01
1.934948154059323411e+00,1.933253240394592343e+00,7.689818181818182108e-01,7.680000000000000160e-01
1.923886772892691832e+00,1.924027729797363362e+00,7.742363636363636115e-01,7.725999999999999535e-01
1.915667802593924884e+00,1.916764350891113189e+00,7.766909090909090985e-01,7.773999999999999799e-01
1.909190035950053765e+00,1.910906675529479903e+00,7.813454545454545652e-01,7.752000000000000002e-01
1.903955918442119311e+00,1.905937821006775001e+00,7.822909090909090368e-01,7.782000000000000028e-01
1.899605658877979719e+00,1.902008041763305624e+00,7.845454545454545459e-01,7.822000000000000064e-01
1.895885266043923156e+00,1.898455089759826686e+00,7.852909090909090395e-01,7.840000000000000302e-01
1.892699406623840286e+00,1.895603525924682620e+00,7.864909090909091294e-01,7.842000000000000082e-01
1.890025902748107889e+00,1.893066316604614219e+00,7.884545454545454080e-01,7.848000000000000531e-01
1.887641575596549215e+00,1.890766900825500585e+00,7.889272727272726993e-01,7.852000000000000091e-01
1.885589405493302673e+00,1.888889499855041398e+00,7.897636363636363344e-01,7.863999999999999879e-01
