CE_train,CE_val,accuracy_train,accuracy_val
2.234800541964444331e+00,2.202936846923828185e+00,4.759272727272727543e-01,5.081999999999999851e-01
2.184131951852278153e+00,2.178799162292480496e+00,5.199272727272726824e-01,5.046000000000000485e-01
2.166282437064431132e+00,2.165892155075073156e+00,5.336181818181817693e-01,5.303999999999999826e-01
2.155033442757346318e+00,2.156484907531738493e+00,5.470363636363636539e-01,5.332000000000000073e-01
2.146461332581259818e+00,2.149301303100585869e+00,5.530000000000000471e-01,5.302000000000000046e-01
2.139627584284002015e+00,2.143175593566894577e+00,5.490181818181818496e-01,5.328000000000000513e-01
2.133512568127025055e+00,2.137855828285217363e+00,5.499090909090909030e-01,5.322000000000000064e-01
2.128024456240914297e+00,2.132828592300414883e+00,5.493636363636363873e-01,5.387999999999999456e-01
2.123115379246798273e+00,2.128558893966674859e+00,5.517999999999999572e-01,5.383999999999999897e-01
2.118830661860379383e+00,2.124733981132507221e+00,5.520909090909090766e-01,5.385999999999999677e-01
