CE_train,CE_val,accuracy_train,accuracy_val
2.089563726902007978e+00,1.978967674636840757e+00,5.896363636363636251e-01,7.558000000000000274e-01
1.941224780342795553e+00,1.913381167030334451e+00,7.849090909090908896e-01,8.085999999999999854e-01
1.899466263294220081e+00,1.888039688491821355e+00,8.130909090909090864e-01,8.209999999999999520e-01
1.881361454010009870e+00,1.875019886016845660e+00,8.254181818181818286e-01,8.284000000000000252e-01
1.871137148900465563e+00,1.867235420799255419e+00,8.315636363636363937e-01,8.326000000000000068e-01
1.864342087008736382e+00,1.861555895423889107e+00,8.349818181818181584e-01,8.349999999999999645e-01
1.859511348117481644e+00,1.857542222023010225e+00,8.369272727272727419e-01,8.387999999999999901e-01
1.855751296390186766e+00,1.854455471229553121e+00,8.394909090909090654e-01,8.416000000000000147e-01
1.852778703342784494e+00,1.851730813407898024e+00,8.408909090909091333e-01,8.439999999999999725e-01
1.850364359075372889e+00,1.849395061302185006e+00,8.427636363636363814e-01,8.441999999999999504e-01
