CE_train,CE_val,accuracy_train,accuracy_val
2.201933844002810226e+00,2.124560481452941740e+00,4.302000000000000268e-01,5.782000000000000473e-01
2.083541921919042306e+00,2.055551591491699082e+00,6.237272727272726858e-01,6.485999999999999543e-01
2.038365041949532053e+00,2.026403677368163958e+00,6.765454545454545610e-01,6.872000000000000330e-01
2.015850799430500384e+00,2.009219116401672167e+00,7.095636363636363964e-01,7.076000000000000068e-01
2.001778484908017131e+00,1.997668116950988670e+00,7.253636363636363216e-01,7.206000000000000183e-01
1.991956837090578913e+00,1.989408296775817764e+00,7.327090909090908655e-01,7.296000000000000263e-01
1.984483145280317773e+00,1.982749370956421009e+00,7.379272727272727650e-01,7.356000000000000316e-01
1.978514030543240709e+00,1.977243191909790143e+00,7.411999999999999700e-01,7.368000000000000105e-01
1.973600739088925415e+00,1.972916616249084543e+00,7.432363636363635839e-01,7.419999999999999929e-01
1.969552712180397736e+00,1.969068113899230976e+00,7.457454545454546002e-01,7.401999999999999691e-01
