CE_train,CE_val,accuracy_train,accuracy_val
2.146818067940798880e+00,2.059740470504760612e+00,4.571818181818181892e-01,6.241999999999999771e-01
2.023025935129685760e+00,1.987905077934265075e+00,6.813636363636363935e-01,7.261999999999999567e-01
1.969876958890394825e+00,1.952872879028320297e+00,7.398181818181818192e-01,7.513999999999999568e-01
1.943696020299738203e+00,1.933830277252197360e+00,7.564181818181817674e-01,7.581999999999999851e-01
1.928460158087990539e+00,1.921795078468322648e+00,7.636181818181818626e-01,7.685999999999999499e-01
1.918235352602871924e+00,1.913388208007812397e+00,7.686727272727272853e-01,7.733999999999999764e-01
1.910850931557741994e+00,1.907077934074401959e+00,7.730909090909090509e-01,7.770000000000000240e-01
1.905213683301752337e+00,1.901833286285400382e+00,7.761636363636363889e-01,7.775999999999999579e-01
1.900690117879347385e+00,1.897805250358581608e+00,7.785454545454545405e-01,7.778000000000000469e-01
1.896972527547316156e+00,1.894267311668395903e+00,7.792000000000000037e-01,7.818000000000000504e-01
1.893836197679693134e+00,1.891180704879760643e+00,7.811636363636363933e-01,7.877999999999999448e-01
1.891125050371343486e+00,1.888645659255981490e+00,7.829636363636364171e-01,7.868000000000000549e-01
1.888710546276786140e+00,1.886509907531738195e+00,7.833272727272727609e-01,7.883999999999999897e-01
1.886669074145230329e+00,1.884578615570068338e+00,7.847818181818181360e-01,7.900000000000000355e-01
1.884807869347659093e+00,1.882743261146545333e+00,7.858181818181818601e-01,7.882000000000000117e-01
1.883059370517730757e+00,1.881221684074401823e+00,7.864181818181817940e-01,7.907999999999999474e-01
1.881492519422010901e+00,1.879647609138488829e+00,7.865636363636363537e-01,7.912000000000000144e-01
1.880031556172804486e+00,1.878081286621093859e+00,7.875272727272727424e-01,7.950000000000000400e-01
1.878728267973119648e+00,1.876941445159912014e+00,7.883454545454545714e-01,7.923999999999999932e-01
1.877489009683782406e+00,1.875606945228576627e+00,7.887090909090909152e-01,7.952000000000000179e-01
