CE_train,CE_val,accuracy_train,accuracy_val
2.197197435292330692e+00,2.157062883377075302e+00,5.551818181818182207e-01,5.987999999999999989e-01
2.132822856339541495e+00,2.126983727073669339e+00,6.495090909090909248e-01,6.560000000000000275e-01
2.111755449164997245e+00,2.112749007797241063e+00,6.875999999999999890e-01,6.827999999999999625e-01
2.100461495702917070e+00,2.104368679618835447e+00,7.056909090909090354e-01,6.932000000000000384e-01
2.093335899786515686e+00,2.098568598937988305e+00,7.152545454545454762e-01,7.087999999999999856e-01
2.088372753880240573e+00,2.094387755012512287e+00,7.215636363636364070e-01,7.089999999999999636e-01
2.084667725519700365e+00,2.091397564697265565e+00,7.252727272727272911e-01,7.104000000000000314e-01
2.081793245705691131e+00,2.088667190933227502e+00,7.273454545454545173e-01,7.181999999999999496e-01
2.079468153953552445e+00,2.086661353683471720e+00,7.287636363636363912e-01,7.176000000000000156e-01
2.077579505226828882e+00,2.084916257095336789e+00,7.297818181818181982e-01,7.231999999999999540e-01
