CE_train,CE_val,accuracy_train,accuracy_val
2.146896528937599857e+00,2.060372215270996232e+00,4.571090909090909093e-01,6.173999999999999488e-01
2.024114111423492623e+00,1.990873854637146056e+00,6.777090909090909276e-01,7.271999999999999575e-01
1.970859881010922576e+00,1.955552250480651955e+00,7.416545454545454552e-01,7.541999999999999815e-01
1.944746196920221548e+00,1.936942594909667914e+00,7.571454545454545659e-01,7.616000000000000547e-01
1.929727505857294245e+00,1.924758842086792043e+00,7.647090909090908939e-01,7.713999999999999746e-01
1.919488143097270560e+00,1.916332569503784278e+00,7.714545454545455039e-01,7.711999999999999966e-01
1.911973007895729770e+00,1.909475523567199629e+00,7.737818181818182373e-01,7.790000000000000258e-01
1.906073327194560685e+00,1.904351563644409273e+00,7.780909090909090553e-01,7.795999999999999597e-01
1.901367119268937644e+00,1.900050451087951675e+00,7.788909090909090782e-01,7.785999999999999588e-01
1.897518461660905320e+00,1.896424007987976168e+00,7.800363636363636388e-01,7.822000000000000064e-01
