CE_train,CE_val,accuracy_train,accuracy_val
2.097457672422582409e+00,1.989561175727844189e+00,5.284181818181817869e-01,7.241999999999999549e-01
1.953690818179737443e+00,1.920183935356140070e+00,7.699636363636364056e-01,8.045999999999999819e-01
1.909464233571832814e+00,1.893878385925293006e+00,8.135090909090909594e-01,8.272000000000000464e-01
1.890079691236669301e+00,1.879868872451782247e+00,8.283454545454544959e-01,8.346000000000000085e-01
1.879092846220189905e+00,1.871297701072692776e+00,8.355636363636363972e-01,8.376000000000000112e-01
1.871789297017184106e+00,1.865514769363403325e+00,8.403636363636363127e-01,8.394000000000000350e-01
1.866467293349179268e+00,1.861163625335693350e+00,8.431636363636363374e-01,8.436000000000000165e-01
1.862384198578921124e+00,1.857162785148620543e+00,8.448181818181818015e-01,8.437999999999999945e-01
1.859122819900512757e+00,1.854381477737426787e+00,8.470363636363635873e-01,8.451999999999999513e-01
1.856402159430764032e+00,1.851899407386779828e+00,8.485090909090908795e-01,8.457999999999999963e-01
