CE_train,CE_val,accuracy_train,accuracy_val
1.997893607182936293e+00,1.886382651138305722e+00,7.161636363636363356e-01,8.269999999999999574e-01
1.862638436837629863e+00,1.846978475189208879e+00,8.453818181818182342e-01,8.529999999999999805e-01
1.839310506733980999e+00,1.832999584579467767e+00,8.557636363636363930e-01,8.606000000000000316e-01
1.828857095111500186e+00,1.825622910690307688e+00,8.595818181818182246e-01,8.598000000000000087e-01
1.822545476393266251e+00,1.819829170989990308e+00,8.611090909090909351e-01,8.646000000000000352e-01
1.818248063087463340e+00,1.816638184165954684e+00,8.631818181818181612e-01,8.648000000000000131e-01
1.815055002212524471e+00,1.814495412445068290e+00,8.643999999999999462e-01,8.609999999999999876e-01
1.812707870006561306e+00,1.811979853057861245e+00,8.647272727272726778e-01,8.649999999999999911e-01
1.810757716829126451e+00,1.810461013984680179e+00,8.643090909090909157e-01,8.638000000000000123e-01
1.809093923915516156e+00,1.809129664993286202e+00,8.653999999999999471e-01,8.659999999999999920e-01
1.807714469519528411e+00,1.808027818489074789e+00,8.661090909090909395e-01,8.641999999999999682e-01
1.806525405103510007e+00,1.806533627510070739e+00,8.658000000000000140e-01,8.676000000000000378e-01
1.805514334245161612e+00,1.805982957077026274e+00,8.657636363636364019e-01,8.628000000000000114e-01
1.804606837966225452e+00,1.804999192619323622e+00,8.663090909090909175e-01,8.676000000000000378e-01
1.803781185106797746e+00,1.804724741554260214e+00,8.663636363636363358e-01,8.658000000000000140e-01
1.803082843347029174e+00,1.803982932853698706e+00,8.658545454545454323e-01,8.641999999999999682e-01
1.802357709754597082e+00,1.803218843460083098e+00,8.663636363636363358e-01,8.656000000000000361e-01
1.801774130387739703e+00,1.802726990890503034e+00,8.664363636363636711e-01,8.641999999999999682e-01
1.801222843473607949e+00,1.801808182334899922e+00,8.665454545454545077e-01,8.648000000000000131e-01
1.800793350176377761e+00,1.801919287490844734e+00,8.663272727272727236e-01,8.636000000000000343e-01
1.800221616138111491e+00,1.801259844779968367e+00,8.659818181818181859e-01,8.643999999999999462e-01
1.799746770555322728e+00,1.800870587921142629e+00,8.664909090909090894e-01,8.678000000000000158e-01
1.799422020522030818e+00,1.800853727531433135e+00,8.661999999999999700e-01,8.653999999999999471e-01
1.799028290661898621e+00,1.800083754158019911e+00,8.663454545454545297e-01,8.658000000000000140e-01
1.798667323806069085e+00,1.799754434204101639e+00,8.664727272727272833e-01,8.646000000000000352e-01
