CE_train,CE_val,accuracy_train,accuracy_val
2.208837293624878129e+00,2.164432232284545954e+00,5.309272727272726922e-01,6.129999999999999893e-01
2.149508487267927759e+00,2.136342284393310642e+00,6.341090909090909555e-01,6.625999999999999668e-01
2.130001888015053524e+00,2.122722456550598213e+00,6.757454545454545380e-01,6.907999999999999696e-01
2.119472665439952497e+00,2.114625362014770360e+00,6.973272727272726845e-01,7.014000000000000234e-01
2.112692444237795897e+00,2.108929097938537556e+00,7.062545454545454682e-01,7.072000000000000508e-01
2.107894827842712537e+00,2.104977721405029367e+00,7.134545454545454524e-01,7.084000000000000297e-01
2.104247964945706428e+00,2.101689562988281246e+00,7.155090909090908724e-01,7.167999999999999927e-01
2.101393434654582837e+00,2.099199663352966372e+00,7.189818181818181664e-01,7.179999999999999716e-01
2.099118496114557253e+00,2.097170078468322707e+00,7.214181818181818473e-01,7.169999999999999707e-01
2.097264439799568780e+00,2.095454868507385271e+00,7.216545454545454374e-01,7.207999999999999963e-01
