CE_train,CE_val,accuracy_train,accuracy_val
2.191252235932783510e+00,2.121238288688659601e+00,3.579090909090908990e-01,4.878000000000000114e-01
2.092430572379718967e+00,2.071690823554992456e+00,5.318545454545454687e-01,5.497999999999999554e-01
2.056497079502452419e+00,2.046435590362548851e+00,5.600909090909090837e-01,5.654000000000000137e-01
2.035956533301960469e+00,2.030975662994384923e+00,5.770181818181817635e-01,5.867999999999999883e-01
2.023058562625538404e+00,2.021310403060913252e+00,5.995272727272726865e-01,6.019999999999999796e-01
2.014624313311143222e+00,2.014787822341919110e+00,6.094909090909090832e-01,6.014000000000000457e-01
2.008548372398723192e+00,2.010067493820190343e+00,6.109454545454545693e-01,6.054000000000000492e-01
2.003845889785072831e+00,2.006263691902160584e+00,6.153454545454545288e-01,6.059999999999999831e-01
2.000195581696250002e+00,2.003346478652954232e+00,6.185636363636363155e-01,6.069999999999999840e-01
1.997487261165272088e+00,2.001074024581908972e+00,6.201999999999999735e-01,6.066000000000000281e-01
1.995228555505925927e+00,1.999342095184326151e+00,6.222545454545455046e-01,6.051999999999999602e-01
1.993278130748055155e+00,1.997797320938110355e+00,6.231818181818181701e-01,6.116000000000000325e-01
1.991604285370219829e+00,1.996377105712890732e+00,6.258181818181818290e-01,6.106000000000000316e-01
1.990162931919097877e+00,1.995212893295288170e+00,6.263454545454545386e-01,6.131999999999999673e-01
1.988867100282148970e+00,1.994148176574707110e+00,6.277636363636364125e-01,6.126000000000000334e-01
1.987731763059442658e+00,1.993226042747497484e+00,6.291454545454545633e-01,6.148000000000000131e-01
1.986744446147571841e+00,1.992438625717163125e+00,6.301454545454545642e-01,6.171999999999999709e-01
1.985884395252574652e+00,1.991768775749206632e+00,6.316909090909090807e-01,6.171999999999999709e-01
1.985110685738650238e+00,1.991084847831726012e+00,6.314363636363636845e-01,6.171999999999999709e-01
1.984457884224978264e+00,1.990575208854675315e+00,6.325636363636363280e-01,6.178000000000000158e-01
1.983870879996906700e+00,1.990151237487792990e+00,6.326363636363636633e-01,6.226000000000000423e-01
1.983361068812283579e+00,1.989711999130248987e+00,6.339636363636363958e-01,6.189999999999999947e-01
1.982883638512004554e+00,1.989302946090698132e+00,6.342545454545454042e-01,6.183999999999999497e-01
1.982493134715340277e+00,1.988888319015502892e+00,6.341636363636363738e-01,6.211999999999999744e-01
1.982123352657664928e+00,1.988711568069458036e+00,6.343272727272727396e-01,6.221999999999999753e-01
