CE_train,CE_val,accuracy_train,accuracy_val
2.263586596055464195e+00,2.234210516738891705e+00,3.207818181818181680e-01,4.656000000000000139e-01
2.225286699121648670e+00,2.215911603927612106e+00,4.305090909090908968e-01,4.188000000000000056e-01
2.213117175188931363e+00,2.207107411956787058e+00,4.027999999999999914e-01,4.113999999999999879e-01
2.205445994030345691e+00,2.200002045631408887e+00,4.034363636363636485e-01,4.128000000000000003e-01
2.198797892137007270e+00,2.194314989852905295e+00,4.028545454545454652e-01,4.113999999999999879e-01
2.194112003673206690e+00,2.190619137573242003e+00,3.996000000000000107e-01,4.083999999999999853e-01
2.191428067467429575e+00,2.188679812812805103e+00,3.987454545454545696e-01,4.117999999999999994e-01
2.189865115599198830e+00,2.187297284317016643e+00,4.025454545454545396e-01,4.138000000000000012e-01
2.188883827556263206e+00,2.186582821846008162e+00,4.035818181818182082e-01,4.149999999999999800e-01
2.188319540110501560e+00,2.186076391983032163e+00,4.046545454545454334e-01,4.148000000000000020e-01
