CE_train,CE_val,accuracy_train,accuracy_val
2.200392723126844974e+00,2.132815587997436424e+00,3.358181818181817935e-01,4.652000000000000024e-01
2.102757004477760816e+00,2.088409154510498134e+00,5.120545454545454289e-01,5.228000000000000425e-01
2.072707732547413251e+00,2.068668454742431440e+00,5.420545454545454556e-01,5.435999999999999721e-01
2.056196642398834040e+00,2.056033546257018951e+00,5.638181818181817739e-01,5.647999999999999687e-01
2.044835598468780713e+00,2.047180576133727836e+00,5.817636363636363717e-01,5.786000000000000032e-01
2.037306743665174835e+00,2.041776494407653963e+00,5.968363636363636093e-01,5.857999999999999874e-01
2.032256594701246755e+00,2.037820356178283721e+00,6.064545454545454684e-01,5.904000000000000359e-01
2.028675010507757115e+00,2.034894158554076959e+00,6.102909090909091061e-01,5.989999999999999769e-01
2.026032691001891983e+00,2.032864859962463466e+00,6.166181818181818430e-01,6.014000000000000457e-01
2.023992901108481846e+00,2.031005000305175834e+00,6.194727272727272860e-01,6.066000000000000281e-01
2.022377201773903455e+00,2.029855788040161091e+00,6.237636363636364090e-01,6.036000000000000254e-01
2.021035298650915024e+00,2.028671915626525823e+00,6.257454545454544936e-01,6.116000000000000325e-01
