CE_train,CE_val,accuracy_train,accuracy_val
2.149317408041520494e+00,2.047007255554199379e+00,5.300363636363636388e-01,6.780000000000000471e-01
2.001080826109105981e+00,1.977568040275573757e+00,7.423454545454545306e-01,7.813999999999999835e-01
1.961070237853310250e+00,1.953782158851623540e+00,7.961272727272726835e-01,8.025999999999999801e-01
1.943946676254272532e+00,1.941008362388610742e+00,8.097636363636363521e-01,8.142000000000000348e-01
1.933945874777707186e+00,1.933346621894836526e+00,8.171272727272727021e-01,8.137999999999999678e-01
1.927274268497120246e+00,1.927397976493835374e+00,8.203454545454545999e-01,8.252000000000000446e-01
1.922381844087080571e+00,1.923489619636535641e+00,8.236727272727272231e-01,8.249999999999999556e-01
1.918622356328097300e+00,1.920000185012817440e+00,8.249454545454545373e-01,8.262000000000000455e-01
1.915614509105682428e+00,1.917282034301757809e+00,8.263272727272726881e-01,8.276000000000000023e-01
1.913142707391218611e+00,1.914939874458313041e+00,8.266727272727272258e-01,8.296000000000000041e-01
