CE_train,CE_val,accuracy_train,accuracy_val
2.247919366489757209e+00,2.220120535659789951e+00,4.249636363636363767e-01,4.868000000000000105e-01
2.202124940872192571e+00,2.196099990272522007e+00,4.796909090909091122e-01,4.520000000000000129e-01
2.183000833164562060e+00,2.181658046722412259e+00,4.666363636363636269e-01,4.576000000000000068e-01
2.170087907617742395e+00,2.171008370399475140e+00,4.741090909090909244e-01,4.560000000000000164e-01
2.160409235174005627e+00,2.162934973526001059e+00,4.782727272727272938e-01,4.531999999999999917e-01
2.153177271929654246e+00,2.156899133491516185e+00,4.793636363636363806e-01,4.616000000000000103e-01
2.147662027749148272e+00,2.152248836326599246e+00,4.841272727272727394e-01,4.630000000000000226e-01
2.143284439173611666e+00,2.148491219520568762e+00,4.865818181818181709e-01,4.673999999999999821e-01
2.139899067531932264e+00,2.145826637649536295e+00,4.889636363636363781e-01,4.719999999999999751e-01
2.137385005560788365e+00,2.143649984931945696e+00,4.903090909090909166e-01,4.723999999999999866e-01
