CE_train,CE_val,accuracy_train,accuracy_val
2.146818302804773371e+00,2.063424885177612467e+00,4.582727272727272760e-01,6.143999999999999462e-01
2.022850694613023137e+00,1.992661854743957628e+00,6.809272727272727144e-01,7.187999999999999945e-01
1.969972419955513754e+00,1.957968305778503337e+00,7.433636363636363376e-01,7.481999999999999762e-01
1.943995752941478417e+00,1.939361104774475209e+00,7.605090909090909124e-01,7.511999999999999789e-01
1.928713152972134637e+00,1.927174080848693904e+00,7.661454545454545739e-01,7.568000000000000282e-01
1.918434825246984277e+00,1.918633208656310929e+00,7.712727272727272210e-01,7.621999999999999886e-01
1.910884768052534710e+00,1.912214105224609328e+00,7.750545454545454405e-01,7.641999999999999904e-01
1.905087964708154891e+00,1.907239424133300831e+00,7.773818181818181738e-01,7.640000000000000124e-01
1.900441600496118655e+00,1.902932612609863350e+00,7.785818181818181527e-01,7.701999999999999957e-01
1.896617097811265529e+00,1.899472205924987778e+00,7.806727272727272959e-01,7.695999999999999508e-01
1.893375819336284183e+00,1.896596435165405214e+00,7.811818181818181994e-01,7.733999999999999764e-01
1.890561719851060252e+00,1.894113585281371970e+00,7.839818181818182241e-01,7.748000000000000442e-01
1.888140195326371673e+00,1.891847394371032776e+00,7.844545454545454044e-01,7.740000000000000213e-01
1.885991923288865557e+00,1.889716726684570247e+00,7.853636363636363749e-01,7.773999999999999799e-01
1.884050159801136326e+00,1.887789626502990759e+00,7.865818181818181598e-01,7.790000000000000258e-01
1.882310191414573008e+00,1.886583030891418433e+00,7.884545454545454080e-01,7.778000000000000469e-01
1.880742497227408716e+00,1.884827951049804717e+00,7.879636363636363106e-01,7.800000000000000266e-01
1.879306330897591248e+00,1.883442340660095304e+00,7.892727272727272370e-01,7.825999999999999623e-01
1.878009986920790242e+00,1.882217539596557687e+00,7.899818181818182294e-01,7.813999999999999835e-01
1.876860601728612687e+00,1.881017250251769912e+00,7.899818181818182294e-01,7.835999999999999632e-01
1.875761760018088697e+00,1.880102690887451189e+00,7.907272727272727231e-01,7.833999999999999853e-01
1.874738119862296326e+00,1.879089729118347263e+00,7.918181818181818654e-01,7.823999999999999844e-01
1.873809049866416165e+00,1.878174860000610291e+00,7.930363636363636504e-01,7.835999999999999632e-01
1.872875712654807456e+00,1.877115111541748149e+00,7.920727272727272616e-01,7.862000000000000099e-01
1.872043657996437682e+00,1.876454886817932044e+00,7.932181818181818223e-01,7.838000000000000522e-01
