CE_train,CE_val,accuracy_train,accuracy_val
2.097688731150193497e+00,1.995884194946289103e+00,5.223636363636363633e-01,7.154000000000000359e-01
1.953263602820309641e+00,1.923695331192016633e+00,7.715090909090909221e-01,8.057999999999999607e-01
1.908859008138829916e+00,1.896616051101684519e+00,8.158545454545454989e-01,8.249999999999999556e-01
1.889514958425001723e+00,1.882724629974365183e+00,8.292000000000000481e-01,8.346000000000000085e-01
1.878510792558843345e+00,1.874150476837158186e+00,8.365090909090908688e-01,8.414000000000000368e-01
1.871248258677395970e+00,1.868427642822265700e+00,8.407454545454545736e-01,8.441999999999999504e-01
1.866000108978965066e+00,1.863587530708312956e+00,8.434363636363636507e-01,8.437999999999999945e-01
1.861917430444197219e+00,1.859921565628051665e+00,8.455454545454546000e-01,8.497999999999999998e-01
1.858781508185646691e+00,1.857479621315002438e+00,8.472545454545454824e-01,8.461999999999999522e-01
1.856160823215137867e+00,1.854727201080322185e+00,8.477090909090908566e-01,8.504000000000000448e-01
