CE_train,CE_val,accuracy_train,accuracy_val
2.091670189944180525e+00,1.974029129028320284e+00,5.759090909090909260e-01,7.663999999999999702e-01
1.939386939915743735e+00,1.906401013183593784e+00,7.930181818181818443e-01,8.185999999999999943e-01
1.897782716967842731e+00,1.881920702552795310e+00,8.223454545454544906e-01,8.284000000000000252e-01
1.880230351404710287e+00,1.869675829696655356e+00,8.320727272727272972e-01,8.322000000000000508e-01
1.870369314930655724e+00,1.861958891487121681e+00,8.368909090909091297e-01,8.346000000000000085e-01
1.863777476570823044e+00,1.856673484039306654e+00,8.393090909090908935e-01,8.384000000000000341e-01
1.858956112124703131e+00,1.852652237510681088e+00,8.411090909090909173e-01,8.407999999999999918e-01
1.855225490526719589e+00,1.849472668838501033e+00,8.428181818181817997e-01,8.414000000000000368e-01
1.852178558696400135e+00,1.847013306617736772e+00,8.446363636363636296e-01,8.404000000000000359e-01
1.849759305650537700e+00,1.844648845291137595e+00,8.449999999999999734e-01,8.427999999999999936e-01
