CE_train,CE_val,accuracy_train,accuracy_val
2.190729614821347315e+00,2.125692883682250844e+00,3.525272727272727447e-01,4.713999999999999857e-01
2.098668119213797922e+00,2.078535652542114143e+00,5.206363636363636749e-01,5.437999999999999501e-01
2.062621919631958178e+00,2.054199645042419586e+00,5.541636363636364138e-01,5.615999999999999881e-01
2.043241967851465279e+00,2.040273781204223535e+00,5.644909090909090432e-01,5.679999999999999494e-01
2.031683032556013568e+00,2.031229420661926355e+00,5.718545454545455042e-01,5.777999999999999803e-01
2.023998456694863002e+00,2.025141291236877361e+00,5.858363636363635996e-01,5.836000000000000076e-01
2.018403061129830256e+00,2.020343838691711635e+00,5.957636363636363841e-01,5.979999999999999760e-01
2.014199045744809347e+00,2.016834296035766805e+00,6.053454545454545199e-01,6.124000000000000554e-01
2.010857684178785743e+00,2.014022898864745947e+00,6.127272727272726760e-01,6.163999999999999480e-01
2.008233379494060333e+00,2.011864602661132650e+00,6.178545454545454341e-01,6.273999999999999577e-01
